Song,Artist,Week,Rank
 It Will Rain,Bruno Mars,2012-03-10,20
 Someone Like You,Adele,2012-03-10,21
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-03-10,22
 Rolling In The Deep,Adele,2012-03-10,23
 Good Girl,Carrie Underwood,2012-03-10,24
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-03-10,25
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-03-10,26
 Not Over You,Gavin DeGraw,2012-03-10,27
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-03-10,28
The One That Got Away,Katy Perry,2012-03-10,29
 I Will Always Love You [re-release],Whitney Houston,2012-03-10,30
 Paradise,Coldplay,2012-03-10,31
 Drive By,Train,2012-03-10,32
 Love You Like A Love Song,Selena Gomez & The Scene,2012-03-10,33
A Thousand Years,Christina Perri,2012-03-10,34
 Wild Ones,"Flo Rida, ft. Sia",2012-03-10,35
 Without You,"David Guetta, ft. Usher",2012-03-10,36
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-03-10,37
 Call Me Maybe,Carly Rae Jepsen,2012-03-10,38
 Work Out,J. Cole,2012-03-10,39
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-03-10,40
 Tonight Is The Night,Outasight,2012-03-10,41
 Strip,"Chris Brown, ft. Kevin McCall",2012-03-10,42
 I Don't Want This Night To End,Luke Bryan,2012-03-10,43
A Woman Like You,Lee Brice,2012-03-10,44
 Ours,Taylor Swift,2012-03-10,45
 Feel So Close,Calvin Harris,2012-03-10,46
 Red Solo Cup,Toby Keith,2012-03-10,47
 Alone With You,Jake Owen,2012-03-10,48
 Sorry For Party Rocking,LMFAO,2012-03-10,49
 What Makes You Beautiful,One Direction,2012-03-10,50
 We Are Young,"fun., ft. Janelle Monae",2012-03-17,1
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-03-17,2
 Set Fire To The Rain,Adele,2012-03-17,3
 Glad You Came,The Wanted,2012-03-17,4
 Part Of Me,Katy Perry,2012-03-17,5
 Starships,Nicki Minaj,2012-03-17,6
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-03-17,7
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-03-17,8
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-03-17,9
 We Found Love,"Rihanna, feat. Calvin Harris",2012-03-17,10
 Take Care,"Drake, ft. Rihanna",2012-03-17,11
 Good Feeling,Flo Rida,2012-03-17,12
 International Love,"Pitbull, feat. Chris Brown",2012-03-17,13
 Sexy And I Know It,LMFAO,2012-03-17,14
The Motto,"Drake, ft. Lil Wayne",2012-03-17,15
 Domino,Jessie J,2012-03-17,16
 Rack City,Tyga,2012-03-17,17
 Good Girl,Carrie Underwood,2012-03-17,18
 Wild Ones,"Flo Rida, ft. Sia",2012-03-17,19
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-03-17,20
 Live My Life,"Far*East Movement, ft. Justin Bieber",2012-03-17,21
 It Will Rain,Bruno Mars,2012-03-17,22
 Drive By,Train,2012-03-17,23
 Someone Like You,Adele,2012-03-17,24
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-03-17,25
 Not Over You,Gavin DeGraw,2012-03-17,26
 Turn Up The Music,Chris Brown,2012-03-17,27
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-03-17,28
 So Good,B.o.B,2012-03-17,29
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-03-17,30
 Call Me Maybe,Carly Rae Jepsen,2012-03-17,31
 Rolling In The Deep,Adele,2012-03-17,32
The One That Got Away,Katy Perry,2012-03-17,33
 Feel So Close,Calvin Harris,2012-03-17,34
 Paradise,Coldplay,2012-03-17,35
A Thousand Years,Christina Perri,2012-03-17,36
 Without You,"David Guetta, ft. Usher",2012-03-17,37
 Tonight Is The Night,Outasight,2012-03-17,38
 Rumour Has It,Adele,2012-03-17,39
 Over You,Miranda Lambert,2012-03-17,40
 Strip,"Chris Brown, ft. Kevin McCall",2012-03-17,41
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-03-17,42
A Woman Like You,Lee Brice,2012-03-17,43
 What Makes You Beautiful,One Direction,2012-03-17,44
 Love You Like A Love Song,Selena Gomez & The Scene,2012-03-17,45
 Talk That Talk,"Rihanna, feat. Jay-Z",2012-03-17,46
 Alone With You,Jake Owen,2012-03-17,47
 Ours,Taylor Swift,2012-03-17,48
 Work Out,J. Cole,2012-03-17,49
 I Don't Want This Night To End,Luke Bryan,2012-03-17,50
 We Are Young,"fun., ft. Janelle Monae",2012-03-24,1
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-03-24,2
 Set Fire To The Rain,Adele,2012-03-24,3
 Glad You Came,The Wanted,2012-03-24,4
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-03-24,5
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-03-24,6
 Take Care,"Drake, ft. Rihanna",2012-03-24,7
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-03-24,8
 Starships,Nicki Minaj,2012-03-24,9
 Part Of Me,Katy Perry,2012-03-24,10
 We Found Love,"Rihanna, feat. Calvin Harris",2012-03-24,11
 Wild Ones,"Flo Rida, ft. Sia",2012-03-24,12
 Good Feeling,Flo Rida,2012-03-24,13
 International Love,"Pitbull, feat. Chris Brown",2012-03-24,14
 Rack City,Tyga,2012-03-24,15
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-03-24,16
 Domino,Jessie J,2012-03-24,17
 Sexy And I Know It,LMFAO,2012-03-24,18
The Motto,"Drake, ft. Lil Wayne",2012-03-24,19
 It Will Rain,Bruno Mars,2012-03-24,20
 Drive By,Train,2012-03-24,21
 Feel So Close,Calvin Harris,2012-03-24,22
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-03-24,23
 Call Me Maybe,Carly Rae Jepsen,2012-03-24,24
 Not Over You,Gavin DeGraw,2012-03-24,25
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-03-24,26
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-03-24,27
 Turn Up The Music,Chris Brown,2012-03-24,28
 Someone Like You,Adele,2012-03-24,29
 Rolling In The Deep,Adele,2012-03-24,30
The One That Got Away,Katy Perry,2012-03-24,31
 Paradise,Coldplay,2012-03-24,32
 What Makes You Beautiful,One Direction,2012-03-24,33
A Thousand Years,Christina Perri,2012-03-24,34
 Without You,"David Guetta, ft. Usher",2012-03-24,35
 Talk That Talk,"Rihanna, feat. Jay-Z",2012-03-24,36
 Good Girl,Carrie Underwood,2012-03-24,37
 Strip,"Chris Brown, ft. Kevin McCall",2012-03-24,38
 Ours,Taylor Swift,2012-03-24,39
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-03-24,40
 Tonight Is The Night,Outasight,2012-03-24,41
 Shadow Days,John Mayer,2012-03-24,42
 Alone With You,Jake Owen,2012-03-24,43
 Love You Like A Love Song,Selena Gomez & The Scene,2012-03-24,44
 Work Out,J. Cole,2012-03-24,45
A Woman Like You,Lee Brice,2012-03-24,46
 Over You,Miranda Lambert,2012-03-24,47
 Love On Top,Beyonce,2012-03-24,48
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-03-24,49
 Drink On It,Blake Shelton,2012-03-24,50
 We Are Young,"fun., ft. Janelle Monae",2012-03-31,1
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-03-31,2
 Glad You Came,The Wanted,2012-03-31,3
 Set Fire To The Rain,Adele,2012-03-31,4
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-03-31,5
 Starships,Nicki Minaj,2012-03-31,6
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-03-31,7
 Take Care,"Drake, ft. Rihanna",2012-03-31,8
 Wild Ones,"Flo Rida, ft. Sia",2012-03-31,9
 Part Of Me,Katy Perry,2012-03-31,10
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-03-31,11
 We Found Love,"Rihanna, feat. Calvin Harris",2012-03-31,12
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-03-31,13
 Rack City,Tyga,2012-03-31,14
 Drive By,Train,2012-03-31,15
 International Love,"Pitbull, feat. Chris Brown",2012-03-31,16
 Good Feeling,Flo Rida,2012-03-31,17
 Feel So Close,Calvin Harris,2012-03-31,18
 What Makes You Beautiful,One Direction,2012-03-31,19
 Domino,Jessie J,2012-03-31,20
The Motto,"Drake, ft. Lil Wayne",2012-03-31,21
 Sexy And I Know It,LMFAO,2012-03-31,22
 Call Me Maybe,Carly Rae Jepsen,2012-03-31,23
 It Will Rain,Bruno Mars,2012-03-31,24
 Turn Up The Music,Chris Brown,2012-03-31,25
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-03-31,26
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-03-31,27
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-03-31,28
 Not Over You,Gavin DeGraw,2012-03-31,29
 Good Girl,Carrie Underwood,2012-03-31,30
 Someone Like You,Adele,2012-03-31,31
 Talk That Talk,"Rihanna, feat. Jay-Z",2012-03-31,32
 Rolling In The Deep,Adele,2012-03-31,33
 Paradise,Coldplay,2012-03-31,34
A Thousand Years,Christina Perri,2012-03-31,35
The One That Got Away,Katy Perry,2012-03-31,36
 Strip,"Chris Brown, ft. Kevin McCall",2012-03-31,37
A Woman Like You,Lee Brice,2012-03-31,38
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-03-31,39
 Without You,"David Guetta, ft. Usher",2012-03-31,40
 Ours,Taylor Swift,2012-03-31,41
 Alone With You,Jake Owen,2012-03-31,42
 Tonight Is The Night,Outasight,2012-03-31,43
 Over You,Miranda Lambert,2012-03-31,44
 Climax,Usher,2012-03-31,45
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-03-31,46
 So Good,B.o.B,2012-03-31,47
 Love On Top,Beyonce,2012-03-31,48
 Drink On It,Blake Shelton,2012-03-31,49
 Rumour Has It,Adele,2012-03-31,50
 We Are Young,"fun., ft. Janelle Monae",2012-04-07,1
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-04-07,2
 Glad You Came,The Wanted,2012-04-07,3
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-04-07,4
 Starships,Nicki Minaj,2012-04-07,5
 Set Fire To The Rain,Adele,2012-04-07,6
 Wild Ones,"Flo Rida, ft. Sia",2012-04-07,7
 Part Of Me,Katy Perry,2012-04-07,8
 Take Care,"Drake, ft. Rihanna",2012-04-07,9
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-04-07,10
 What Makes You Beautiful,One Direction,2012-04-07,11
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-04-07,12
 Drive By,Train,2012-04-07,13
 We Found Love,"Rihanna, feat. Calvin Harris",2012-04-07,14
 Feel So Close,Calvin Harris,2012-04-07,15
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-04-07,16
The Motto,"Drake, ft. Lil Wayne",2012-04-07,17
 Call Me Maybe,Carly Rae Jepsen,2012-04-07,18
 Eyes Open,Taylor Swift,2012-04-07,19
 Good Feeling,Flo Rida,2012-04-07,20
 International Love,"Pitbull, feat. Chris Brown",2012-04-07,21
 Rack City,Tyga,2012-04-07,22
 Domino,Jessie J,2012-04-07,23
 Sexy And I Know It,LMFAO,2012-04-07,24
 Turn Up The Music,Chris Brown,2012-04-07,25
 It Will Rain,Bruno Mars,2012-04-07,26
 So Good,B.o.B,2012-04-07,27
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-04-07,28
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-04-07,29
 Not Over You,Gavin DeGraw,2012-04-07,30
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-04-07,31
 Good Girl,Carrie Underwood,2012-04-07,32
A Woman Like You,Lee Brice,2012-04-07,33
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-04-07,34
 Safe & Sound,"Taylor Swift, ft. The Civil Wars",2012-04-07,35
A Thousand Years,Christina Perri,2012-04-07,36
 Talk That Talk,"Rihanna, feat. Jay-Z",2012-04-07,37
 Paradise,Coldplay,2012-04-07,38
 Someone Like You,Adele,2012-04-07,39
 Climax,Usher,2012-04-07,40
 Alone With You,Jake Owen,2012-04-07,41
 Ours,Taylor Swift,2012-04-07,42
 Rolling In The Deep,Adele,2012-04-07,43
 Rumour Has It,Adele,2012-04-07,44
 Tonight Is The Night,Outasight,2012-04-07,45
 Springsteen,Eric Church,2012-04-07,46
 Drink On It,Blake Shelton,2012-04-07,47
The One That Got Away,Katy Perry,2012-04-07,48
 Over You,Miranda Lambert,2012-04-07,49
 Without You,"David Guetta, ft. Usher",2012-04-07,50
 We Are Young,"fun., ft. Janelle Monae",2012-04-14,1
 Boyfriend,Justin Bieber,2012-04-14,2
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-04-14,3
 Glad You Came,The Wanted,2012-04-14,4
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-04-14,5
 Starships,Nicki Minaj,2012-04-14,6
 Wild Ones,"Flo Rida, ft. Sia",2012-04-14,7
 Part Of Me,Katy Perry,2012-04-14,8
 What Makes You Beautiful,One Direction,2012-04-14,9
 Call Me Maybe,Carly Rae Jepsen,2012-04-14,10
 Take Care,"Drake, ft. Rihanna",2012-04-14,11
 Set Fire To The Rain,Adele,2012-04-14,12
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-04-14,13
 Feel So Close,Calvin Harris,2012-04-14,14
 Drive By,Train,2012-04-14,15
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-04-14,16
The Motto,"Drake, ft. Lil Wayne",2012-04-14,17
 We Found Love,"Rihanna, feat. Calvin Harris",2012-04-14,18
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-04-14,19
 Rack City,Tyga,2012-04-14,20
 Good Feeling,Flo Rida,2012-04-14,21
 International Love,"Pitbull, feat. Chris Brown",2012-04-14,22
 So Good,B.o.B,2012-04-14,23
 Domino,Jessie J,2012-04-14,24
 Sexy And I Know It,LMFAO,2012-04-14,25
 Eyes Open,Taylor Swift,2012-04-14,26
 Turn Up The Music,Chris Brown,2012-04-14,27
 It Will Rain,Bruno Mars,2012-04-14,28
 Climax,Usher,2012-04-14,29
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-04-14,30
 Good Girl,Carrie Underwood,2012-04-14,31
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-04-14,32
 Brokenhearted,Karmin,2012-04-14,33
A Woman Like You,Lee Brice,2012-04-14,34
 Rumour Has It,Adele,2012-04-14,35
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-04-14,36
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-04-14,37
 Springsteen,Eric Church,2012-04-14,38
 Drunk On You,Luke Bryan,2012-04-14,39
A Thousand Years,Christina Perri,2012-04-14,40
 Talk That Talk,"Rihanna, feat. Jay-Z",2012-04-14,41
 Alone With You,Jake Owen,2012-04-14,42
 Not Over You,Gavin DeGraw,2012-04-14,43
 Over You,Miranda Lambert,2012-04-14,44
 Drink On It,Blake Shelton,2012-04-14,45
 Paradise,Coldplay,2012-04-14,46
 Safe & Sound,"Taylor Swift, ft. The Civil Wars",2012-04-14,47
 Someone Like You,Adele,2012-04-14,48
 Rolling In The Deep,Adele,2012-04-14,49
 Fly Over States,Jason Aldean,2012-04-14,50
 We Are Young,"fun., ft. Janelle Monae",2012-04-21,1
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-04-21,2
 Glad You Came,The Wanted,2012-04-21,3
 What Makes You Beautiful,One Direction,2012-04-21,4
 Boyfriend,Justin Bieber,2012-04-21,5
 Starships,Nicki Minaj,2012-04-21,6
 Wild Ones,"Flo Rida, ft. Sia",2012-04-21,7
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-04-21,8
 Part Of Me,Katy Perry,2012-04-21,9
 Call Me Maybe,Carly Rae Jepsen,2012-04-21,10
 Take Care,"Drake, ft. Rihanna",2012-04-21,11
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-04-21,12
 Feel So Close,Calvin Harris,2012-04-21,13
 Drive By,Train,2012-04-21,14
 Set Fire To The Rain,Adele,2012-04-21,15
The Motto,"Drake, ft. Lil Wayne",2012-04-21,16
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-04-21,17
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-04-21,18
 So Good,B.o.B,2012-04-21,19
 We Found Love,"Rihanna, feat. Calvin Harris",2012-04-21,20
 Rack City,Tyga,2012-04-21,21
 Good Feeling,Flo Rida,2012-04-21,22
 Rumour Has It,Adele,2012-04-21,23
 International Love,"Pitbull, feat. Chris Brown",2012-04-21,24
 Domino,Jessie J,2012-04-21,25
 Springsteen,Eric Church,2012-04-21,26
 Dance Again,"Jennifer Lopez, ft. Pitbull",2012-04-21,27
 Sexy And I Know It,LMFAO,2012-04-21,28
 Eyes Open,Taylor Swift,2012-04-21,29
 Climax,Usher,2012-04-21,30
 Drunk On You,Luke Bryan,2012-04-21,31
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-04-21,32
 Turn Up The Music,Chris Brown,2012-04-21,33
 Good Girl,Carrie Underwood,2012-04-21,34
 Over You,Miranda Lambert,2012-04-21,35
A Woman Like You,Lee Brice,2012-04-21,36
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-04-21,37
 Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012-04-21,38
 Drink On It,Blake Shelton,2012-04-21,39
 Feel Like A Rock Star,"Kenny Chesney, & Tim McGraw",2012-04-21,40
 Brokenhearted,Karmin,2012-04-21,41
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-04-21,42
 Fly Over States,Jason Aldean,2012-04-21,43
 It Will Rain,Bruno Mars,2012-04-21,44
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-04-21,45
A Thousand Years,Christina Perri,2012-04-21,46
 Dancin' Away With My Heart,Lady Antebellum,2012-04-21,47
 Drank In My Cup,Kirko Bangz,2012-04-21,48
 Talk That Talk,"Rihanna, feat. Jay-Z",2012-04-21,49
 Not Over You,Gavin DeGraw,2012-04-21,50
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-04-28,1
 We Are Young,"fun., ft. Janelle Monae",2012-04-28,2
 Glad You Came,The Wanted,2012-04-28,3
 What Makes You Beautiful,One Direction,2012-04-28,4
 Boyfriend,Justin Bieber,2012-04-28,5
 Wild Ones,"Flo Rida, ft. Sia",2012-04-28,6
 Starships,Nicki Minaj,2012-04-28,7
 Call Me Maybe,Carly Rae Jepsen,2012-04-28,8
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-04-28,9
 Part Of Me,Katy Perry,2012-04-28,10
 Take Care,"Drake, ft. Rihanna",2012-04-28,11
 Feel So Close,Calvin Harris,2012-04-28,12
 Drive By,Train,2012-04-28,13
The Motto,"Drake, ft. Lil Wayne",2012-04-28,14
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-04-28,15
 So Good,B.o.B,2012-04-28,16
 Set Fire To The Rain,Adele,2012-04-28,17
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-04-28,18
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-04-28,19
 Rumour Has It,Adele,2012-04-28,20
 Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012-04-28,21
 We Found Love,"Rihanna, feat. Calvin Harris",2012-04-28,22
 Eyes Open,Taylor Swift,2012-04-28,23
 Rack City,Tyga,2012-04-28,24
 Climax,Usher,2012-04-28,25
 Somebody That I Used To Know,Glee Cast,2012-04-28,26
 Good Feeling,Flo Rida,2012-04-28,27
 Domino,Jessie J,2012-04-28,28
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-04-28,29
 Drunk On You,Luke Bryan,2012-04-28,30
 Springsteen,Eric Church,2012-04-28,31
 International Love,"Pitbull, feat. Chris Brown",2012-04-28,32
 Sexy And I Know It,LMFAO,2012-04-28,33
 Dance Again,"Jennifer Lopez, ft. Pitbull",2012-04-28,34
 Good Girl,Carrie Underwood,2012-04-28,35
A Woman Like You,Lee Brice,2012-04-28,36
 Over You,Miranda Lambert,2012-04-28,37
 Brokenhearted,Karmin,2012-04-28,38
 Fly Over States,Jason Aldean,2012-04-28,39
 Turn Up The Music,Chris Brown,2012-04-28,40
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-04-28,41
 Drink On It,Blake Shelton,2012-04-28,42
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-04-28,43
 Drank In My Cup,Kirko Bangz,2012-04-28,44
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-04-28,45
A Thousand Years,Christina Perri,2012-04-28,46
 It Will Rain,Bruno Mars,2012-04-28,47
 Dancin' Away With My Heart,Lady Antebellum,2012-04-28,48
 I Won't Give Up,Jason Mraz,2012-04-28,49
 Faded,"Tyga, feat. Lil Wayne",2012-04-28,50
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-05-05,1
 We Are Young,"fun., ft. Janelle Monae",2012-05-05,2
 Payphone,"Maroon 5, ft. Wiz Khalifa",2012-05-05,3
 Boyfriend,Justin Bieber,2012-05-05,4
 Glad You Came,The Wanted,2012-05-05,5
 Wild Ones,"Flo Rida, ft. Sia",2012-05-05,6
 Call Me Maybe,Carly Rae Jepsen,2012-05-05,7
 What Makes You Beautiful,One Direction,2012-05-05,8
 Starships,Nicki Minaj,2012-05-05,9
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-05-05,10
 Drive By,Train,2012-05-05,11
 Part Of Me,Katy Perry,2012-05-05,12
 Take Care,"Drake, ft. Rihanna",2012-05-05,13
 Feel So Close,Calvin Harris,2012-05-05,14
The Motto,"Drake, ft. Lil Wayne",2012-05-05,15
 Rumour Has It,Adele,2012-05-05,16
 So Good,B.o.B,2012-05-05,17
 Set Fire To The Rain,Adele,2012-05-05,18
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-05-05,19
 Climax,Usher,2012-05-05,20
 Eyes Open,Taylor Swift,2012-05-05,21
 We Found Love,"Rihanna, feat. Calvin Harris",2012-05-05,22
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-05-05,23
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-05-05,24
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-05-05,25
 Springsteen,Eric Church,2012-05-05,26
 Good Feeling,Flo Rida,2012-05-05,27
 Drunk On You,Luke Bryan,2012-05-05,28
 Dance Again,"Jennifer Lopez, ft. Pitbull",2012-05-05,29
 Burn It Down,Linkin Park,2012-05-05,30
 Rack City,Tyga,2012-05-05,31
 Sexy And I Know It,LMFAO,2012-05-05,32
 Brokenhearted,Karmin,2012-05-05,33
 Domino,Jessie J,2012-05-05,34
 Good Girl,Carrie Underwood,2012-05-05,35
 I Won't Give Up,Jason Mraz,2012-05-05,36
 Fly Over States,Jason Aldean,2012-05-05,37
 Over You,Miranda Lambert,2012-05-05,38
 Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012-05-05,39
 Drank In My Cup,Kirko Bangz,2012-05-05,40
A Woman Like You,Lee Brice,2012-05-05,41
 International Love,"Pitbull, feat. Chris Brown",2012-05-05,42
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-05-05,43
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-05-05,44
 Drink On It,Blake Shelton,2012-05-05,45
 Dancin' Away With My Heart,Lady Antebellum,2012-05-05,46
 Somethin' 'Bout A Truck,Kip Moore,2012-05-05,47
 UP!,LoveRance ft. IamSu & Skipper,2012-05-05,48
 Lights,Ellie Goulding,2012-05-05,49
 Faded,"Tyga, feat. Lil Wayne",2012-05-05,50
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-05-12,1
 We Are Young,"fun., ft. Janelle Monae",2012-05-12,2
 Payphone,"Maroon 5, ft. Wiz Khalifa",2012-05-12,3
 Glad You Came,The Wanted,2012-05-12,4
 Call Me Maybe,Carly Rae Jepsen,2012-05-12,5
 Wild Ones,"Flo Rida, ft. Sia",2012-05-12,6
 Boyfriend,Justin Bieber,2012-05-12,7
 Starships,Nicki Minaj,2012-05-12,8
 What Makes You Beautiful,One Direction,2012-05-12,9
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-05-12,10
 Part Of Me,Katy Perry,2012-05-12,11
 Drive By,Train,2012-05-12,12
 Feel So Close,Calvin Harris,2012-05-12,13
 Take Care,"Drake, ft. Rihanna",2012-05-12,14
The Motto,"Drake, ft. Lil Wayne",2012-05-12,15
 Rumour Has It,Adele,2012-05-12,16
" Work Hard, Play Hard",Wiz Khalifa,2012-05-12,17
 Climax,Usher,2012-05-12,18
 So Good,B.o.B,2012-05-12,19
 Eyes Open,Taylor Swift,2012-05-12,20
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-05-12,21
 Set Fire To The Rain,Adele,2012-05-12,22
 Springsteen,Eric Church,2012-05-12,23
 Birthday Cake,"Rihanna, feat. Chris Brown",2012-05-12,24
 Dance Again,"Jennifer Lopez, ft. Pitbull",2012-05-12,25
 We Found Love,"Rihanna, feat. Calvin Harris",2012-05-12,26
 Drunk On You,Luke Bryan,2012-05-12,27
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-05-12,28
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-05-12,29
 Good Feeling,Flo Rida,2012-05-12,30
 Good Girl,Carrie Underwood,2012-05-12,31
 Brokenhearted,Karmin,2012-05-12,32
 I Won't Give Up,Jason Mraz,2012-05-12,33
 Fly Over States,Jason Aldean,2012-05-12,34
 Drank In My Cup,Kirko Bangz,2012-05-12,35
 Rack City,Tyga,2012-05-12,36
 Sexy And I Know It,LMFAO,2012-05-12,37
 Over You,Miranda Lambert,2012-05-12,38
